Rndrng_Prvdr_State_Abrvtn,GDP
AL,230892.1
AK,50475.2
AZ,382072.3
AR,133969.1
CA,3020173.4
CO,391263.3
CT,276223.3
DE,75818.6
DC,144720
FL,1116726.8
GA,625425.7
HI,82535.5
ID,85927.8
IL,856942.9
IN,373781.6
IA,196982.9
KS,177580.9
KY,216865.6
LA,232527.8
ME,70740
MD,410931
MA,585150.3
MI,520105.3
MN,376814.4
MS,115123.4
MO,330249.9
MT,52355.8
NE,134580.8
NV,172562.6
NH,88337.7
NJ,620085.9
NM,98790
NY,1740804.7
NC,598915.9
ND,54422.9
OH,684382.5
OK,190063.6
OR,247966.7
PA,771613.2
RI,60770.6
SC,245359.5
SD,55681.2
TN,379007.1
TX,1789933.4
UT,202133.4
VT,34018.6
VA,556992.6
WA,612969.1
WV,76547.9
WI,340591.1
WY,36330.4
